Parcel_ID,Parcel_Number,Ring,Sector,Full_Address,X_Coordinate_Feet,Y_Coordinate_Feet,Latitude,Longitude,Inner_Radius,Outer_Radius
BRC-0001,1,Esplanade,2:00,"2:00 & Esplanade",616,1088,40.789389,-119.204364,0,2500
BRC-0002,2,Esplanade,2:02,"2:02 & Esplanade",596,1099,40.789418,-119.204430,0,2500
BRC-0003,3,Esplanade,2:04,"2:04 & Esplanade",577,1109,40.789446,-119.204497,0,2500
BRC-0004,4,Esplanade,2:06,"2:06 & Esplanade",558,1119,40.789473,-119.204565,0,2500
BRC-0005,5,Esplanade,2:08,"2:08 & Esplanade",538,1128,40.789500,-119.204633,0,2500
BRC-0006,6,Esplanade,2:10,"2:10 & Esplanade",518,1137,40.789525,-119.204701,0,2500
BRC-0007,7,Esplanade,2:12,"2:12 & Esplanade",498,1146,40.789549,-119.204771,0,2500
BRC-0008,8,Esplanade,2:14,"2:14 & Esplanade",478,1155,40.789573,-119.204840,0,2500
BRC-0009,9,Esplanade,2:16,"2:16 & Esplanade",458,1163,40.789595,-119.204910,0,2500
BRC-0010,10,Esplanade,2:18,"2:18 & Esplanade",438,1171,40.789617,-119.204981,0,2500
BRC-0011,11,Esplanade,2:20,"2:20 & Esplanade",417,1178,40.789637,-119.205052,0,2500
BRC-0012,12,Esplanade,2:22,"2:22 & Esplanade",397,1185,40.789657,-119.205124,0,2500
BRC-0013,13,Esplanade,2:24,"2:24 & Esplanade",376,1192,40.789675,-119.205196,0,2500
BRC-0014,14,Esplanade,2:26,"2:26 & Esplanade",355,1199,40.789693,-119.205268,0,2500
BRC-0015,15,Esplanade,2:28,"2:28 & Esplanade",334,1205,40.789709,-119.205341,0,2500
BRC-0016,16,Esplanade,2:30,"2:30 & Esplanade",313,1210,40.789725,-119.205414,0,2500
BRC-0017,17,Esplanade,2:32,"2:32 & Esplanade",292,1215,40.789739,-119.205487,0,2500
BRC-0018,18,Esplanade,2:34,"2:34 & Esplanade",271,1220,40.789753,-119.205561,0,2500
BRC-0019,19,Esplanade,2:36,"2:36 & Esplanade",249,1225,40.789765,-119.205635,0,2500
BRC-0020,20,Esplanade,2:38,"2:38 & Esplanade",228,1229,40.789777,-119.205710,0,2500
BRC-0021,21,Esplanade,2:40,"2:40 & Esplanade",206,1233,40.789787,-119.205784,0,2500
BRC-0022,22,Esplanade,2:42,"2:42 & Esplanade",185,1236,40.789796,-119.205859,0,2500
BRC-0023,23,Esplanade,2:44,"2:44 & Esplanade",163,1239,40.789805,-119.205934,0,2500
BRC-0024,24,Esplanade,2:46,"2:46 & Esplanade",142,1242,40.789812,-119.206009,0,2500
BRC-0025,25,Esplanade,2:48,"2:48 & Esplanade",120,1244,40.789818,-119.206084,0,2500
BRC-0026,26,Esplanade,2:50,"2:50 & Esplanade",98,1246,40.789823,-119.206160,0,2500
BRC-0027,27,Esplanade,2:52,"2:52 & Esplanade",76,1248,40.789828,-119.206235,0,2500
BRC-0028,28,Esplanade,2:54,"2:54 & Esplanade",55,1249,40.789831,-119.206311,0,2500
BRC-0029,29,Esplanade,2:56,"2:56 & Esplanade",33,1250,40.789833,-119.206386,0,2500
BRC-0030,30,Esplanade,2:58,"2:58 & Esplanade",11,1250,40.789834,-119.206462,0,2500
BRC-0031,31,Esplanade,3:00,"3:00 & Esplanade",-11,1250,40.789834,-119.206538,0,2500
BRC-0032,32,Esplanade,3:02,"3:02 & Esplanade",-33,1250,40.789833,-119.206614,0,2500
BRC-0033,33,Esplanade,3:04,"3:04 & Esplanade",-55,1249,40.789831,-119.206689,0,2500
BRC-0034,34,Esplanade,3:06,"3:06 & Esplanade",-76,1248,40.789828,-119.206765,0,2500
BRC-0035,35,Esplanade,3:08,"3:08 & Esplanade",-98,1246,40.789823,-119.206840,0,2500
BRC-0036,36,Esplanade,3:10,"3:10 & Esplanade",-120,1244,40.789818,-119.206916,0,2500
BRC-0037,37,Esplanade,3:12,"3:12 & Esplanade",-142,1242,40.789812,-119.206991,0,2500
BRC-0038,38,Esplanade,3:14,"3:14 & Esplanade",-163,1239,40.789805,-119.207066,0,2500
BRC-0039,39,Esplanade,3:16,"3:16 & Esplanade",-185,1236,40.789796,-119.207141,0,2500
BRC-0040,40,Esplanade,3:18,"3:18 & Esplanade",-206,1233,40.789787,-119.207216,0,2500
BRC-0041,41,Esplanade,3:20,"3:20 & Esplanade",-228,1229,40.789777,-119.207290,0,2500
BRC-0042,42,Esplanade,3:22,"3:22 & Esplanade",-249,1225,40.789765,-119.207365,0,2500
BRC-0043,43,Esplanade,3:24,"3:24 & Esplanade",-271,1220,40.789753,-119.207439,0,2500
BRC-0044,44,Esplanade,3:26,"3:26 & Esplanade",-292,1215,40.789739,-119.207513,0,2500
BRC-0045,45,Esplanade,3:28,"3:28 & Esplanade",-313,1210,40.789725,-119.207586,0,2500
BRC-0046,46,Esplanade,3:30,"3:30 & Esplanade",-334,1205,40.789709,-119.207659,0,2500
BRC-0047,47,Esplanade,3:32,"3:32 & Esplanade",-355,1199,40.789693,-119.207732,0,2500
BRC-0048,48,Esplanade,3:34,"3:34 & Esplanade",-376,1192,40.789675,-119.207804,0,2500
BRC-0049,49,Esplanade,3:36,"3:36 & Esplanade",-397,1185,40.789657,-119.207876,0,2500
BRC-0050,50,Esplanade,3:38,"3:38 & Esplanade",-417,1178,40.789637,-119.207948,0,2500
BRC-0051,51,Esplanade,3:40,"3:40 & Esplanade",-438,1171,40.789617,-119.208019,0,2500
BRC-0052,52,Esplanade,3:42,"3:42 & Esplanade",-458,1163,40.789595,-119.208090,0,2500
BRC-0053,53,Esplanade,3:44,"3:44 & Esplanade",-478,1155,40.789573,-119.208160,0,2500
BRC-0054,54,Esplanade,3:46,"3:46 & Esplanade",-498,1146,40.789549,-119.208229,0,2500
BRC-0055,55,Esplanade,3:48,"3:48 & Esplanade",-518,1137,40.789525,-119.208299,0,2500
BRC-0056,56,Esplanade,3:50,"3:50 & Esplanade",-538,1128,40.789500,-119.208367,0,2500
